"V1","V2","V3","V4","V5"
"21","2010","New York, NY, USA","27","32"
"17","2010","New York, NY, USA","24","32"
"14","2010","New York, NY, USA","21","26"
"15","2010","New York, NY, USA","20","24"
"12","2010","New York, NY, USA","16","20"
"14","2010","New York, NY, USA","19","24"
"14","2010","New York, NY, USA","18","22"
"16","2010","New York, NY, USA","20","23"
"19","2010","New York, NY, USA","23","27"
"18","2010","New York, NY, USA","21","23"
"17","2010","New York, NY, USA","22","26"
"16","2010","New York, NY, USA","19","23"
"19","2010","New York, NY, USA","22","26"
"17","2010","New York, NY, USA","23","28"
"16","2010","New York, NY, USA","21","25"
"20","2010","New York, NY, USA","27","33"
"23","2010","New York, NY, USA","28","33"
"22","2010","New York, NY, USA","26","29"
"22","2010","New York, NY, USA","28","34"
"24","2010","New York, NY, USA","30","36"
"22","2010","New York, NY, USA","26","29"
"21","2010","New York, NY, USA","27","33"
"22","2010","New York, NY, USA","27","31"
"24","2010","New York, NY, USA","31","37"
"22","2010","New York, NY, USA","28","34"
"18","2010","New York, NY, USA","23","27"
"18","2010","New York, NY, USA","23","27"
"17","2010","New York, NY, USA","23","28"
"19","2010","New York, NY, USA","25","31"
"21","2010","New York, NY, USA","29","38"
"22","2010","New York, NY, USA","29","36"
"24","2010","New York, NY, USA","31","38"
"25","2010","New York, NY, USA","32","38"
"24","2010","New York, NY, USA","28","31"
"23","2010","New York, NY, USA","27","31"
"23","2010","New York, NY, USA","26","28"
"23","2010","New York, NY, USA","28","32"
"22","2010","New York, NY, USA","27","32"
"23","2010","New York, NY, USA","26","28"
"23","2010","New York, NY, USA","26","28"
"23","2010","New York, NY, USA","27","30"
"23","2010","New York, NY, USA","27","31"
"26","2010","New York, NY, USA","30","34"
"25","2010","New York, NY, USA","30","35"
"23","2010","New York, NY, USA","27","31"
"24","2010","New York, NY, USA","28","32"
"24","2010","New York, NY, USA","28","32"
"24","2010","New York, NY, USA","28","33"
"23","2010","New York, NY, USA","26","29"
"27","2010","New York, NY, USA","32","36"
"23","2010","New York, NY, USA","29","34"
"20","2010","New York, NY, USA","26","32"
"22","2010","New York, NY, USA","27","32"
"22","2010","New York, NY, USA","26","30"
"23","2010","New York, NY, USA","27","31"
"20","2010","New York, NY, USA","23","27"
"18","2010","New York, NY, USA","23","27"
"21","2010","New York, NY, USA","24","27"
"20","2010","New York, NY, USA","24","27"
"22","2010","New York, NY, USA","25","28"
"23","2010","New York, NY, USA","26","29"
"23","2010","New York, NY, USA","29","36"
"21","2010","New York, NY, USA","27","33"
"18","2010","New York, NY, USA","23","28"
"21","2010","New York, NY, USA","26","30"
"22","2010","New York, NY, USA","27","31"
"24","2010","New York, NY, USA","28","32"
"24","2010","New York, NY, USA","29","34"
"21","2010","New York, NY, USA","23","24"
"20","2010","New York, NY, USA","23","27"
"17","2010","New York, NY, USA","21","26"
"21","2010","New York, NY, USA","23","26"
"22","2010","New York, NY, USA","26","29"
"23","2010","New York, NY, USA","28","32"
"22","2010","New York, NY, USA","24","27"
"19","2010","New York, NY, USA","25","30"
"22","2010","New York, NY, USA","28","33"
"19","2010","New York, NY, USA","24","28"
"21","2010","New York, NY, USA","23","26"
"18","2010","New York, NY, USA","20","22"
"18","2010","New York, NY, USA","19","21"
"18","2010","New York, NY, USA","19","21"
"19","2010","New York, NY, USA","24","29"
"16","2010","New York, NY, USA","22","27"
"16","2010","New York, NY, USA","22","28"
"17","2010","New York, NY, USA","26","34"
"20","2010","New York, NY, USA","27","33"
"22","2010","New York, NY, USA","29","36"
"23","2010","New York, NY, USA","28","33"
"23","2010","New York, NY, USA","27","30"
"23","2010","New York, NY, USA","26","29"
"18","2010","New York, NY, USA","23","28"
"17","2010","New York, NY, USA","21","26"
"15","2010","New York, NY, USA","20","25"
"19","2010","New York, NY, USA","23","28"
"19","2010","New York, NY, USA","26","33"
"17","2010","New York, NY, USA","21","23"
"16","2010","New York, NY, USA","21","24"
"14","2010","New York, NY, USA","21","26"
"13","2010","New York, NY, USA","17","20"
"13","2010","New York, NY, USA","19","24"
"16","2010","New York, NY, USA","21","26"
"13","2010","New York, NY, USA","18","23"
"12","2010","New York, NY, USA","17","23"
"16","2010","New York, NY, USA","20","24"
"16","2010","New York, NY, USA","19","23"
"16","2010","New York, NY, USA","21","25"
"15","2010","New York, NY, USA","19","23"
"12","2010","New York, NY, USA","17","21"
"18","2010","New York, NY, USA","22","27"
"19","2010","New York, NY, USA","23","27"
"20","2010","New York, NY, USA","23","25"
"19","2010","New York, NY, USA","25","31"
"17","2010","New York, NY, USA","21","24"
"17","2010","New York, NY, USA","20","23"
"21","2010","New York, NY, USA","22","23"
"17","2010","New York, NY, USA","22","26"
"21","2010","New York, NY, USA","23","25"
"14","2010","New York, NY, USA","19","24"
"11","2010","New York, NY, USA","16","20"
"11","2010","New York, NY, USA","14","18"
"12","2010","New York, NY, USA","13","14"
"13","2010","New York, NY, USA","16","18"
"13","2010","New York, NY, USA","16","18"
"12","2010","New York, NY, USA","17","23"
"12","2010","New York, NY, USA","18","23"
"11","2010","New York, NY, USA","17","23"
"7","2010","New York, NY, USA","14","21"
"13","2010","New York, NY, USA","18","24"
"12","2010","New York, NY, USA","17","22"
"9","2010","New York, NY, USA","14","19"
"8","2010","New York, NY, USA","13","18"
"10","2010","New York, NY, USA","13","16"
"11","2010","New York, NY, USA","13","16"
"9","2010","New York, NY, USA","16","22"
"9","2010","New York, NY, USA","13","17"
"9","2010","New York, NY, USA","12","15"
"8","2010","New York, NY, USA","12","16"
"10","2010","New York, NY, USA","14","18"
"8","2010","New York, NY, USA","11","13"
"7","2010","New York, NY, USA","13","18"
"11","2010","New York, NY, USA","15","19"
"11","2010","New York, NY, USA","16","21"
"16","2010","New York, NY, USA","18","21"
"17","2010","New York, NY, USA","18","19"
"12","2010","New York, NY, USA","18","24"
"9","2010","New York, NY, USA","12","15"
"6","2010","New York, NY, USA","11","14"
"6","2010","New York, NY, USA","11","17"
"3","2010","New York, NY, USA","7","10"
"2","2010","New York, NY, USA","7","11"
"2","2010","New York, NY, USA","7","12"
"8","2010","New York, NY, USA","9","11"
"7","2010","New York, NY, USA","10","13"
"4","2010","New York, NY, USA","8","12"
"3","2010","New York, NY, USA","7","11"
"5","2010","New York, NY, USA","7","8"
"5","2010","New York, NY, USA","9","13"
"8","2010","New York, NY, USA","11","14"
"5","2010","New York, NY, USA","9","14"
"4","2010","New York, NY, USA","12","18"
"6","2010","New York, NY, USA","13","19"
"3","2010","New York, NY, USA","9","16"
"8","2010","New York, NY, USA","12","16"
"11","2010","New York, NY, USA","13","15"
"11","2010","New York, NY, USA","14","17"
"7","2010","New York, NY, USA","11","13"
"3","2010","New York, NY, USA","7","10"
"4","2010","New York, NY, USA","9","13"
"2","2010","New York, NY, USA","6","9"
"7","2010","New York, NY, USA","12","16"
"10","2010","New York, NY, USA","13","16"
"5","2010","New York, NY, USA","8","11"
"3","2010","New York, NY, USA","7","10"
"4","2010","New York, NY, USA","8","12"
"2","2010","New York, NY, USA","4","7"
"1","2010","New York, NY, USA","5","8"
"-1","2010","New York, NY, USA","4","9"
"8","2010","New York, NY, USA","11","13"
"4","2010","New York, NY, USA","10","15"
"1","2010","New York, NY, USA","4","7"
"1","2010","New York, NY, USA","3","6"
"1","2010","New York, NY, USA","3","6"
"-1","2010","New York, NY, USA","1","3"
"-1","2010","New York, NY, USA","1","2"
"-1","2010","New York, NY, USA","2","4"
"-2","2010","New York, NY, USA","0","2"
"-6","2010","New York, NY, USA","-3","0"
"-7","2010","New York, NY, USA","-2","3"
"-3","2010","New York, NY, USA","2","7"
"6","2010","New York, NY, USA","9","13"
"-6","2010","New York, NY, USA","2","10"
"-7","2010","New York, NY, USA","-6","-4"
"-7","2010","New York, NY, USA","-4","-1"
"-4","2010","New York, NY, USA","-3","-1"
"-6","2010","New York, NY, USA","-1","3"
"-4","2010","New York, NY, USA","-1","3"
"-2","2010","New York, NY, USA","1","3"
"-3","2010","New York, NY, USA","1","4"
"-2","2010","New York, NY, USA","2","6"
"-2","2010","New York, NY, USA","2","5"
"-1","2010","New York, NY, USA","1","3"
"-1","2010","New York, NY, USA","2","6"
"-3","2010","New York, NY, USA","-1","1"
"-6","2010","New York, NY, USA","-3","-1"
"-6","2010","New York, NY, USA","-4","-3"
"-5","2010","New York, NY, USA","-1","3"
"-2","2010","New York, NY, USA","1","3"
"-7","2010","New York, NY, USA","-1","4"
"-1","2010","New York, NY, USA","2","4"
"1","2011","New York, NY, USA","3","6"
"2","2011","New York, NY, USA","6","9"
"-2","2011","New York, NY, USA","0","2"
"-2","2011","New York, NY, USA","1","3"
"-2","2011","New York, NY, USA","1","4"
"-5","2011","New York, NY, USA","-2","1"
"-4","2011","New York, NY, USA","-1","2"
"-7","2011","New York, NY, USA","-3","0"
"-3","2011","New York, NY, USA","-1","1"
"-4","2011","New York, NY, USA","-1","2"
"-5","2011","New York, NY, USA","-2","0"
"-4","2011","New York, NY, USA","-2","0"
"-8","2011","New York, NY, USA","-4","-1"
"-9","2011","New York, NY, USA","-5","-1"
"-6","2011","New York, NY, USA","-2","2"
"-3","2011","New York, NY, USA","-1","2"
"-7","2011","New York, NY, USA","-4","-3"
"-4","2011","New York, NY, USA","2","7"
"1","2011","New York, NY, USA","3","6"
"-1","2011","New York, NY, USA","1","2"
"-7","2011","New York, NY, USA","-3","1"
"-10","2011","New York, NY, USA","-7","-4"
"-11","2011","New York, NY, USA","-7","-4"
"-14","2011","New York, NY, USA","-9","-4"
"-4","2011","New York, NY, USA","-1","2"
"-4","2011","New York, NY, USA","-1","1"
"-3","2011","New York, NY, USA","0","3"
"-5","2011","New York, NY, USA","-2","2"
"-5","2011","New York, NY, USA","-2","1"
"-4","2011","New York, NY, USA","0","4"
"-7","2011","New York, NY, USA","-3","0"
"-4","2011","New York, NY, USA","-2","1"
"-3","2011","New York, NY, USA","1","4"
"-4","2011","New York, NY, USA","-2","1"
"-7","2011","New York, NY, USA","-3","1"
"-6","2011","New York, NY, USA","1","6"
"0","2011","New York, NY, USA","4","7"
"-2","2011","New York, NY, USA","2","4"
"-7","2011","New York, NY, USA","-1","4"
"-9","2011","New York, NY, USA","-5","-2"
"-5","2011","New York, NY, USA","-3","-2"
"-7","2011","New York, NY, USA","-2","2"
"-4","2011","New York, NY, USA","1","5"
"-4","2011","New York, NY, USA","1","6"
"2","2011","New York, NY, USA","9","15"
"-3","2011","New York, NY, USA","1","3"
"-5","2011","New York, NY, USA","1","6"
"4","2011","New York, NY, USA","9","13"
"4","2011","New York, NY, USA","12","19"
"-5","2011","New York, NY, USA","4","12"
"-6","2011","New York, NY, USA","0","6"
"-4","2011","New York, NY, USA","0","3"
"-8","2011","New York, NY, USA","-3","1"
"-6","2011","New York, NY, USA","1","6"
"-5","2011","New York, NY, USA","0","5"
"1","2011","New York, NY, USA","7","12"
"0","2011","New York, NY, USA","3","6"
"4","2011","New York, NY, USA","8","12"
"4","2011","New York, NY, USA","10","16"
"1","2011","New York, NY, USA","5","9"
"-3","2011","New York, NY, USA","5","13"
"-7","2011","New York, NY, USA","-3","1"
"-4","2011","New York, NY, USA","1","5"
"5","2011","New York, NY, USA","8","12"
"7","2011","New York, NY, USA","9","11"
"1","2011","New York, NY, USA","6","11"
"-2","2011","New York, NY, USA","4","9"
"-1","2011","New York, NY, USA","3","7"
"3","2011","New York, NY, USA","7","9"
"5","2011","New York, NY, USA","9","13"
"3","2011","New York, NY, USA","8","13"
"4","2011","New York, NY, USA","8","12"
"2","2011","New York, NY, USA","5","8"
"-1","2011","New York, NY, USA","3","7"
"4","2011","New York, NY, USA","9","14"
"7","2011","New York, NY, USA","12","17"
"7","2011","New York, NY, USA","17","26"
"4","2011","New York, NY, USA","10","16"
"1","2011","New York, NY, USA","5","8"
"3","2011","New York, NY, USA","6","8"
"5","2011","New York, NY, USA","8","12"
"1","2011","New York, NY, USA","3","6"
"0","2011","New York, NY, USA","4","7"
"-2","2011","New York, NY, USA","2","6"
"-3","2011","New York, NY, USA","1","5"
"-2","2011","New York, NY, USA","3","8"
"-3","2011","New York, NY, USA","3","8"
"0","2011","New York, NY, USA","6","11"
"2","2011","New York, NY, USA","6","9"
"3","2011","New York, NY, USA","5","7"
"1","2011","New York, NY, USA","4","7"
"3","2011","New York, NY, USA","9","14"
"6","2011","New York, NY, USA","11","16"
"7","2011","New York, NY, USA","10","13"
"6","2011","New York, NY, USA","9","12"
"3","2011","New York, NY, USA","8","13"
"4","2011","New York, NY, USA","7","9"
"4","2011","New York, NY, USA","7","10"
"3","2011","New York, NY, USA","8","12"
"5","2011","New York, NY, USA","8","12"
"3","2011","New York, NY, USA","9","16"
"8","2011","New York, NY, USA","14","20"
"7","2011","New York, NY, USA","10","13"
"9","2011","New York, NY, USA","15","21"
"5","2011","New York, NY, USA","9","13"
"5","2011","New York, NY, USA","9","14"
"9","2011","New York, NY, USA","13","16"
"9","2011","New York, NY, USA","13","17"
"8","2011","New York, NY, USA","11","13"
"8","2011","New York, NY, USA","12","16"
"6","2011","New York, NY, USA","11","17"
"4","2011","New York, NY, USA","8","11"
"7","2011","New York, NY, USA","9","12"
"11","2011","New York, NY, USA","17","23"
"12","2011","New York, NY, USA","17","22"
"12","2011","New York, NY, USA","16","21"
"12","2011","New York, NY, USA","15","18"
"13","2011","New York, NY, USA","16","18"
"11","2011","New York, NY, USA","17","22"
"10","2011","New York, NY, USA","14","19"
"9","2011","New York, NY, USA","14","18"
"9","2011","New York, NY, USA","12","15"
"12","2011","New York, NY, USA","16","19"
"9","2011","New York, NY, USA","13","18"
"8","2011","New York, NY, USA","14","19"
"8","2011","New York, NY, USA","14","19"
"9","2011","New York, NY, USA","16","21"
"11","2011","New York, NY, USA","17","23"
"12","2011","New York, NY, USA","17","22"
"12","2011","New York, NY, USA","18","23"
"11","2011","New York, NY, USA","17","22"
"11","2011","New York, NY, USA","16","20"
"10","2011","New York, NY, USA","14","17"
"13","2011","New York, NY, USA","16","18"
"15","2011","New York, NY, USA","17","19"
"14","2011","New York, NY, USA","16","17"
"12","2011","New York, NY, USA","15","18"
"16","2011","New York, NY, USA","19","22"
"15","2011","New York, NY, USA","19","23"
"13","2011","New York, NY, USA","16","18"
"12","2011","New York, NY, USA","17","22"
"12","2011","New York, NY, USA","13","14"
"13","2011","New York, NY, USA","15","17"
"16","2011","New York, NY, USA","22","28"
"17","2011","New York, NY, USA","22","26"
"16","2011","New York, NY, USA","19","22"
"17","2011","New York, NY, USA","21","26"
"18","2011","New York, NY, USA","22","25"
"18","2011","New York, NY, USA","22","25"
"19","2011","New York, NY, USA","24","30"
"19","2011","New York, NY, USA","25","31"
"19","2011","New York, NY, USA","24","29"
"17","2011","New York, NY, USA","23","28"
"14","2011","New York, NY, USA","20","26"
"13","2011","New York, NY, USA","19","26"
"13","2011","New York, NY, USA","17","19"
"15","2011","New York, NY, USA","21","27"
"17","2011","New York, NY, USA","24","32"
"20","2011","New York, NY, USA","26","32"
"20","2011","New York, NY, USA","27","34"
"20","2011","New York, NY, USA","24","29"
"16","2011","New York, NY, USA","18","21"
"14","2011","New York, NY, USA","18","22"
"16","2011","New York, NY, USA","21","24"
"15","2011","New York, NY, USA","18","21"
"13","2011","New York, NY, USA","21","29"
"17","2011","New York, NY, USA","23","29"
"18","2011","New York, NY, USA","22","26"
"18","2011","New York, NY, USA","23","29"
"19","2011","New York, NY, USA","24","28"
"18","2011","New York, NY, USA","22","25"
"20","2011","New York, NY, USA","23","27"
"20","2011","New York, NY, USA","23","26"
"19","2011","New York, NY, USA","21","23"
"18","2011","New York, NY, USA","20","22"
"19","2011","New York, NY, USA","23","26"
"20","2011","New York, NY, USA","24","28"
"19","2011","New York, NY, USA","23","28"
"22","2011","New York, NY, USA","26","28"
"22","2011","New York, NY, USA","27","31"
"19","2011","New York, NY, USA","24","29"
"17","2011","New York, NY, USA","23","29"
"19","2011","New York, NY, USA","25","30"
