"V1","V2","V3","V4","V5"
"16","2010","Knoxville, TN, USA","23","30"
"17","2010","Knoxville, TN, USA","22","26"
"17","2010","Knoxville, TN, USA","22","26"
"16","2010","Knoxville, TN, USA","20","24"
"12","2010","Knoxville, TN, USA","17","22"
"11","2010","Knoxville, TN, USA","19","27"
"18","2010","Knoxville, TN, USA","22","26"
"18","2010","Knoxville, TN, USA","23","28"
"16","2010","Knoxville, TN, USA","24","32"
"17","2010","Knoxville, TN, USA","24","30"
"17","2010","Knoxville, TN, USA","23","29"
"17","2010","Knoxville, TN, USA","24","31"
"16","2010","Knoxville, TN, USA","23","31"
"17","2010","Knoxville, TN, USA","24","31"
"17","2010","Knoxville, TN, USA","23","29"
"19","2010","Knoxville, TN, USA","24","29"
"20","2010","Knoxville, TN, USA","24","28"
"20","2010","Knoxville, TN, USA","24","28"
"18","2010","Knoxville, TN, USA","24","31"
"19","2010","Knoxville, TN, USA","26","31"
"21","2010","Knoxville, TN, USA","26","31"
"20","2010","Knoxville, TN, USA","27","33"
"19","2010","Knoxville, TN, USA","25","31"
"15","2010","Knoxville, TN, USA","22","28"
"16","2010","Knoxville, TN, USA","23","30"
"21","2010","Knoxville, TN, USA","24","27"
"21","2010","Knoxville, TN, USA","25","29"
"20","2010","Knoxville, TN, USA","26","32"
"23","2010","Knoxville, TN, USA","28","33"
"24","2010","Knoxville, TN, USA","29","34"
"22","2010","Knoxville, TN, USA","29","35"
"21","2010","Knoxville, TN, USA","27","33"
"20","2010","Knoxville, TN, USA","26","32"
"22","2010","Knoxville, TN, USA","27","33"
"19","2010","Knoxville, TN, USA","26","33"
"21","2010","Knoxville, TN, USA","27","33"
"21","2010","Knoxville, TN, USA","28","34"
"20","2010","Knoxville, TN, USA","28","36"
"21","2010","Knoxville, TN, USA","28","35"
"23","2010","Knoxville, TN, USA","29","35"
"24","2010","Knoxville, TN, USA","29","34"
"22","2010","Knoxville, TN, USA","28","34"
"22","2010","Knoxville, TN, USA","28","34"
"23","2010","Knoxville, TN, USA","29","35"
"23","2010","Knoxville, TN, USA","29","35"
"22","2010","Knoxville, TN, USA","27","32"
"21","2010","Knoxville, TN, USA","27","32"
"19","2010","Knoxville, TN, USA","25","31"
"17","2010","Knoxville, TN, USA","25","32"
"21","2010","Knoxville, TN, USA","27","32"
